Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2014-11-30,164000.0,579944.0,,179900.0,119911.0,,,382450.0,559000.0,617500.0,349000.0,,,284900.0,,,465000.0,140000.0,675000.0,,124900.0,,244900.0
2014-12-31,164923.0,599900.0,,188900.0,119757.5,,,399900.0,587450.0,641830.0,359900.0,,,279900.0,,,492900.0,142900.0,722450.0,,129900.0,,249900.0
2015-01-31,164000.0,639000.0,,207000.0,120950.0,,,399999.5,599900.0,697450.0,375000.0,,,312200.0,,,499000.0,145000.0,739900.0,,119911.0,,249900.0
2015-02-28,168800.0,639900.0,,220000.0,129910.5,,,399900.0,600000.0,599000.0,378900.0,,,299900.0,,,499000.0,157900.0,715000.0,,124900.0,,264450.0
2015-03-31,184924.0,629500.0,,239900.0,119900.0,,,391750.0,600000.0,599000.0,367500.0,,,302500.0,,,519000.0,139900.0,734900.0,299900.0,135981.5,,285900.0
2015-04-30,176998.0,639000.0,,236500.0,133400.0,,,382900.0,579900.0,667000.0,385000.0,,,315000.0,,,525000.0,141500.0,749900.0,299450.0,134943.0,,282150.0
2015-05-31,169950.0,632945.0,,219000.0,139000.0,,,384500.0,619000.0,698000.0,389900.0,,,304700.0,,,524950.0,154900.0,749000.0,285000.0,135000.0,,282450.0
2015-06-30,169950.0,636990.0,,231900.0,132450.0,,,399000.0,619450.0,668000.0,382400.0,,,299900.0,,,525000.0,164950.0,754488.5,287450.0,137973.0,,289900.0
2015-07-31,179450.0,624950.0,,222500.0,139944.0,,,399000.0,619900.0,654450.0,385000.0,,,289500.0,,,549700.0,179900.0,699996.0,269900.0,135000.0,,267510.0
2015-08-31,179000.0,619450.0,,224947.5,150000.0,249500.0,,383700.0,599950.0,699000.0,375000.0,,,299500.0,,,537450.0,189900.0,714900.0,269900.0,135000.0,,274000.0
2015-09-30,184900.0,626450.0,,245450.0,152750.0,227900.0,,382700.0,619000.0,663950.0,389000.0,,,299000.0,,,572495.0,199900.0,714900.0,275000.0,144944.0,,297000.0
2015-10-31,169900.0,639450.0,,227450.0,154900.0,209950.0,,384900.0,622400.0,683222.0,399000.0,,,315000.0,,229450.0,513950.0,189700.0,724977.0,299900.0,135000.0,,283950.0
2015-11-30,175100.0,671950.0,,239900.0,158500.0,215000.0,,405000.0,629900.0,649450.0,378900.0,,,325000.0,,229900.0,525000.0,199900.0,725000.0,319708.0,135000.0,,283102.0
2015-12-31,165900.0,679000.0,,239900.0,164900.0,215000.0,,429400.0,599900.0,625000.0,385000.0,,,334900.0,,227421.0,499500.0,194900.0,769900.0,319900.0,136450.0,,284900.0
2016-01-31,169900.0,707900.0,,257445.0,168750.0,239900.0,,439000.0,599450.0,682000.0,384900.0,,,349900.0,,229900.0,499000.0,197506.0,723995.0,322400.0,145000.0,,275000.0
2016-02-29,169900.0,697450.0,,219000.0,155000.0,254900.0,,450000.0,607450.0,689000.0,399900.0,,,364250.0,,224900.0,510000.0,198703.0,739000.0,324900.0,145000.0,,272900.0
2016-03-31,175000.0,707245.0,254900.0,203900.0,169900.0,252450.0,,469950.0,599900.0,729950.0,395000.0,,,364250.0,,219000.0,549900.0,199950.0,747855.0,324900.0,149950.0,,275755.5
2016-04-30,179971.0,714500.0,222450.0,219900.0,187400.0,225000.0,,485460.0,569900.0,749450.0,397000.0,,,369900.0,,219900.0,577450.0,199000.0,749000.0,336950.0,159900.0,,280000.0
2016-05-31,185950.0,692054.0,207450.0,229900.0,185000.0,222450.0,,499900.0,582450.0,767200.0,384700.0,,,359900.0,,240000.0,549450.0,191950.0,736710.0,342450.0,159950.0,,288704.5
2016-06-30,185000.0,685000.0,222500.0,239900.0,182500.0,229900.0,,504000.0,575000.0,775000.0,399000.0,229950.0,379450.0,364900.0,,239900.0,580450.0,197000.0,749000.0,339900.0,150000.0,,282239.5
2016-07-31,189900.0,696970.5,222400.0,249394.0,188700.0,249900.0,,509000.0,599450.0,750000.0,399450.0,229900.0,399000.0,349900.0,,239900.0,564000.0,196000.0,739000.0,329900.0,172000.0,,288556.0
2016-08-31,190000.0,689945.0,239900.0,239900.0,187700.0,250000.0,,525000.0,610000.0,737000.0,399900.0,224950.0,350000.0,352700.0,,239908.0,589000.0,198250.0,739888.5,339900.0,159900.0,,284948.0
2016-09-30,189900.0,684990.0,239900.0,235000.0,189900.0,250000.0,,532400.0,635000.0,739950.0,412400.0,224000.0,342400.0,364999.5,,247500.0,609000.0,194950.0,749900.0,329900.0,169000.0,,285807.5
2016-10-31,184950.0,684990.0,239900.0,229000.0,179900.0,247900.0,,519950.0,649950.0,699000.0,399900.0,229900.0,369500.0,368655.0,,245450.0,617000.0,195000.0,750000.0,325000.0,169000.0,,278667.5
2016-11-30,195000.0,679900.0,239900.0,259900.0,179900.0,238950.0,,515000.0,675000.0,699875.0,391950.0,224990.0,349950.0,369895.0,,249900.0,625000.0,195250.0,799400.0,324999.5,169900.0,,281310.0
2016-12-31,194900.0,687990.0,239900.0,249900.0,179000.0,228900.0,,500000.0,679900.0,699900.0,399900.0,226450.0,349900.0,361450.0,,240000.0,619900.0,200000.0,799000.0,329900.0,164946.0,,284760.0
2017-01-31,195000.0,661397.5,237700.0,225000.0,179999.0,230900.0,,500000.0,677000.0,699900.0,399900.0,249000.0,359900.0,360000.0,,259000.0,638500.0,209900.0,799000.0,324900.0,164946.0,,283592.0
2017-02-28,199900.0,679900.0,249450.0,239900.0,179949.5,227900.0,,515000.0,675000.0,699900.0,399900.0,259900.0,344900.0,378422.0,,261450.0,619900.0,214900.0,799000.0,310000.0,164946.0,,283361.0
2017-03-31,204900.0,685000.0,279950.0,249900.0,191922.0,244500.0,,514900.0,675000.0,749900.0,399450.0,264995.0,359900.0,379900.0,,260000.0,620950.0,209950.0,799000.0,324900.0,170000.0,,295900.0
2017-04-30,214900.0,686000.0,290900.0,254900.0,189900.0,239000.0,,539900.0,679000.0,748000.0,399900.0,274950.0,349900.0,384950.0,,285000.0,623500.0,224900.0,799800.0,331400.0,164750.0,,307900.0
2017-05-31,214900.0,699000.0,290400.0,250000.0,183900.0,275000.0,387400.0,599000.0,649900.0,699500.0,389900.0,275000.0,389450.0,389000.0,,285900.0,635000.0,230000.0,799000.0,339900.0,171000.0,,319900.0
2017-06-30,220000.0,669900.0,289900.0,254900.0,186700.0,254900.0,365000.0,599450.0,639950.0,679000.0,389900.0,289491.0,370000.0,389900.0,,275000.0,639000.0,239900.0,799000.0,330000.0,175000.0,,319900.0
2017-07-31,221990.0,679900.0,307900.0,259900.0,199900.0,255900.0,374900.0,559000.0,675000.0,699450.0,384900.0,275000.0,357450.0,379998.0,,278950.0,639000.0,240000.0,799000.0,325000.0,189900.0,239000.0,315000.0
2017-08-31,224000.0,699900.0,290000.0,259900.0,195000.0,259900.0,414900.0,599900.0,649700.0,699000.0,390779.5,285000.0,354921.5,392441.5,289450.0,279900.0,642000.0,232400.0,795000.0,319900.0,196200.0,237450.0,319900.0
2017-09-30,220499.5,692000.0,289900.0,259900.0,193000.0,259900.0,388700.0,574900.0,634900.0,699000.0,399000.0,275000.0,345400.0,399900.0,289900.0,275000.0,642000.0,229900.0,756500.0,325000.0,185000.0,222450.0,318945.0
