"Nashville-Davidson--Murfreesboro--Franklin Metro, TN Zillow Home Value Index - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,09/15/2009,10/15/2009,11/15/2009,12/15/2009,01/15/2010,02/15/2010,03/15/2010,04/15/2010,05/15/2010,06/15/2010,07/15/2010,08/15/2010,09/15/2010,10/15/2010,11/15/2010,12/15/2010,01/15/2011,02/15/2011,03/15/2011,04/15/2011,05/15/2011,06/15/2011,07/15/2011,08/15/2011,09/15/2011,10/15/2011,11/15/2011,12/15/2011,01/15/2012,02/15/2012,03/15/2012,04/15/2012,05/15/2012,06/15/2012,07/15/2012,08/15/2012,09/15/2012,10/15/2012,11/15/2012,12/15/2012,01/15/2013,02/15/2013,03/15/2013,04/15/2013,05/15/2013,06/15/2013,07/15/2013,08/15/2013,09/15/2013,10/15/2013,11/15/2013,12/15/2013,01/15/2014,02/15/2014,03/15/2014,04/15/2014,05/15/2014,06/15/2014,07/15/2014,08/15/2014,09/15/2014,10/15/2014,11/15/2014,12/15/2014,01/15/2015,02/15/2015,03/15/2015,04/15/2015,05/15/2015,06/15/2015,07/15/2015,08/15/2015,09/15/2015,10/15/2015,11/15/2015,12/15/2015,01/15/2016,02/15/2016,03/15/2016,04/15/2016,05/15/2016,06/15/2016,07/15/2016,08/15/2016,09/15/2016,10/15/2016,11/15/2016,12/15/2016,01/15/2017,02/15/2017,03/15/2017,04/15/2017,05/15/2017,06/15/2017,07/15/2017,08/15/2017,09/15/2017,10/15/2017,11/15/2017,12/15/2017,01/15/2018,02/15/2018,03/15/2018,04/15/2018,05/15/2018,06/15/2018,07/15/2018,08/15/2018,09/15/2018,10/15/2018,11/15/2018,12/15/2018,01/15/2019,02/15/2019,03/15/2019,04/15/2019,05/15/2019,06/15/2019,07/15/2019,08/15/2019
Pleasant View,city,All Homes,161800,160900,160100,159600,159600,160000,159800,159200,159200,160000,160500,160800,160700,160200,159000,157300,155800,154500,153100,152900,153500,153500,152900,152700,153100,154000,155200,155900,155500,154500,154100,153900,153800,154700,155800,156800,156900,156500,156800,158200,159900,161500,163000,163700,164200,164700,165300,165200,164900,164500,164100,163600,164000,164900,165900,166500,166600,166400,166800,168600,171100,172900,173700,174100,174400,174400,175000,176500,177600,178200,178700,179100,179300,179900,180200,181000,182800,184900,186100,187100,188000,189000,190200,191100,192000,193700,195900,197100,197700,198500,199400,200400,201900,202900,203300,204400,206200,208000,211000,214100,215900,216900,217900,218500,219200,220500,222800,224900,227300,230600,233300,234900,236300,238000,240300,242800,244800,246600,247800,248200
Portland,city,All Homes,106200,106300,106200,106400,105600,105200,105100,104600,103600,103400,103000,102700,102400,101400,100200,98900,98600,98400,98100,97800,97600,97000,96400,95800,94900,94500,94700,95400,96500,97500,98100,98400,98600,98800,98800,98700,98800,99100,99600,99300,98200,97300,97300,97900,98700,99700,101000,102800,104000,104500,104800,105600,106500,107000,107100,107500,108100,108000,107400,107200,107300,107800,108800,109500,109800,110600,111900,113300,115000,116700,118400,119900,121200,122400,123500,125000,126400,127400,128400,129400,130300,131500,133000,134400,135600,136500,137500,138900,140600,141900,143500,145300,146600,147300,147900,148600,149800,151200,152100,153300,155300,157400,158300,159100,160600,162400,163500,164200,165800,168500,171200,172600,173100,173600,173500,172500,171700,172500,173900,175100
Readyville,city,All Homes,139100,139300,139700,139000,138800,140000,138900,134800,132500,133000,132100,129800,128800,128500,126800,125200,124000,122100,120700,120100,119300,118100,118200,120000,121800,123300,125700,127800,128700,129900,132000,134600,135500,134700,133400,132900,133100,132600,130900,127500,124500,121900,119400,119100,119700,119400,119400,120100,119000,117600,118000,119700,120300,121300,123300,124200,124600,126400,128800,130600,131800,132600,133100,134200,136000,137500,137900,137300,138000,139300,139600,139100,139900,141700,143600,146100,149600,152400,153400,153800,152600,151500,150500,149300,148500,149500,149900,151300,155500,160100,165700,173300,180800,185600,191000,197500,202900,205800,209000,212200,212900,211700,210400,210300,212200,213100,211500,210200,211300,211700,213100,214000,213800,214300,216500,216300,215300,217500,221400,222600
Red Boiling Springs,city,All Homes,52000,51800,51700,51800,51800,51700,52100,52800,53200,53200,53300,53300,53500,53500,53000,52300,52000,52000,51900,51800,52100,52300,52400,52600,52700,52900,53100,53100,53200,53200,52900,52400,52100,52100,52300,52600,53000,53100,52900,52800,52800,52900,53000,53200,53300,53200,53100,53200,53300,53600,54000,54200,54300,54400,54400,54500,54800,55500,55800,55600,55200,55200,55500,56000,56400,57000,57400,57900,58100,58000,57900,58400,58700,59100,59600,60100,60100,60600,61000,60900,60600,60700,61000,61100,61400,62200,63200,64100,64900,66100,67500,68700,69200,69200,69400,69900,70600,71100,71300,71700,71800,70800,70300,70800,71600,71600,71500,71600,72100,71700,71300,71600,72300,72200,72200,72600,74100,77200,80800,82800
Rockvale,city,All Homes,158800,158800,158600,158400,158300,158400,157800,156800,156300,155800,154900,153900,153100,152400,151800,151400,151100,150800,150200,149100,147900,146800,145700,145000,144600,145100,146000,146600,147400,147900,147300,147000,148100,149300,150000,150500,150900,150800,150700,151000,150900,150100,150300,151500,152400,153100,154500,156200,157100,157600,158100,158600,158800,159400,160600,161900,163000,164100,165500,166700,167600,168600,169800,171000,172200,173500,175100,177000,179000,181300,183700,185100,185800,187200,189000,190100,191100,192800,194700,196200,197700,199500,201500,204200,207300,209900,211700,214400,217700,220600,223400,226300,228400,230400,232000,233200,234400,235700,236700,237500,239100,242100,245500,247200,247900,247200,246500,247400,250300,253400,256000,258100,260300,261600,262100,262200,262100,262000,262300,262700
Santa Fe,city,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123600,125800,125000,123800,124600,125700,125500,125700,125300,120200,112100,106300,102100,100800,102800,101500,97600,94100,91600,90700,93000,95500,97900,98900,99900,99600,97500,96300,96500,98700,103000,105400,102200,101400,102300,104200,107600,112500,114600,117800,121700,124900,127000,128800,131800,136000,139800,142300,141200,139100,140100,141200,140700,142900,146800,149400,152200,154400,155700,159200,167200,172700,172500,170200,174200,181700,183800,186000,197100,207600,207500,206700,212400,221400,228800,237900,249200,255100,256400,254100,246700,237100,232800,226900,221600,222600,224500,220300,213900,208400,208800,215200
Smyrna,city,All Homes,142900,142600,142300,141800,141300,141200,141100,140500,140000,139600,139000,138300,137400,136300,135100,134300,133900,133300,132600,131600,130600,129800,129200,128700,128500,128900,129800,130600,131000,131000,131100,131800,132800,133300,133200,133200,134000,134700,135100,135500,135900,136200,136200,136400,136500,137100,137700,138200,138200,138300,138600,139100,139200,139600,140500,141700,142800,144100,145600,146900,147800,148600,149500,150400,151700,153200,154300,155600,157000,158100,159200,160600,162000,163100,164300,165600,166700,168000,169700,171000,172000,173300,175100,176900,178500,179900,180800,181400,182400,183800,185500,187500,189100,190600,192400,195000,197800,200300,202800,205200,207900,211000,213800,215500,216900,217900,218400,219000,220700,223000,225300,227500,229300,230200,230700,231200,231700,232700,233900,234500
South Carthage,city,All Homes,88200,87300,86500,85700,85300,85200,85300,85500,85300,84500,83800,83300,82400,81300,80300,79600,78800,77800,77000,76500,76300,76500,77200,78200,78700,78700,79200,80000,80300,81100,82400,83100,83100,83400,83400,82700,82400,82900,82900,82300,81700,81700,81600,81400,81500,82000,82100,81800,81800,82300,82400,82300,82400,82700,82900,83200,83200,83000,83000,83800,84700,84900,84800,85400,86500,87300,87400,87600,88400,89200,89800,90200,90900,91800,92800,94200,96000,96700,97000,97900,99400,100000,101100,102800,103800,104200,105300,106500,107700,108500,109500,111400,112800,114300,116200,117600,117700,119100,120900,122200,122300,122300,122500,122700,122900,122600,122600,124000,126700,128000,127900,127100,126600,126500,126700,125900,125300,125600,125400,124500
Spring Hill,city,All Homes,178600,178500,178600,178800,179300,180100,180300,179700,179300,179300,178500,177100,175800,175200,174800,174200,173200,172000,171200,171000,170900,169900,168800,168200,168300,168600,168400,168000,167800,168000,168400,169000,169700,170600,171800,173000,174000,174300,173900,174100,174800,175600,176600,177800,179000,180100,180800,181400,182100,183200,185000,186800,188000,189100,190600,191800,192800,194200,196100,198200,200000,201500,202900,204400,205700,207000,208200,210300,212300,214100,215700,217400,218700,220100,221900,223700,225400,226900,228100,229200,230800,232900,235000,237300,240100,243200,246300,249100,251400,253000,255100,257600,260000,261600,262800,264100,265200,265800,266500,267400,268700,270400,271100,271500,272000,272800,273700,274500,275500,276900,277600,278600,281000,283800,285500,285400,284500,283900,284200,284500
Springfield,city,All Homes,117100,117100,117000,116900,116400,116400,116500,116100,115700,116400,116900,117300,117400,117000,116300,115900,115300,114200,113200,112600,112700,112500,112000,111300,110300,109800,110000,110200,110200,109700,109600,109900,110100,109900,109100,107600,107300,107500,107200,107400,108200,108900,109000,109000,108100,106900,106800,108100,108800,109600,110900,111500,111400,111400,111500,111800,112500,113300,114200,115300,116400,117000,117200,117400,118200,119300,120100,120800,121700,122900,123900,124500,125100,125500,126200,127400,129000,130300,131400,132700,134500,136600,138100,139000,140200,142000,143800,145300,146400,147300,148300,149500,150600,151700,152900,153900,154200,153900,154100,154800,156100,157700,159500,161200,163000,164300,165400,167000,169700,172300,173900,174200,174300,175300,176700,176800,176000,174900,174600,175000
Thompsons Station,city,All Homes,225100,224600,224200,224400,224800,225500,224300,222000,220900,220500,218900,217100,216200,215500,214200,212300,210700,209000,207600,206400,205800,205800,206300,206800,207500,208300,209900,210700,210300,210400,212100,213700,213600,213400,214500,215700,216000,216400,216700,217200,217700,218700,220300,222900,226800,230800,233900,236200,238800,242000,244800,246300,248200,250200,250700,250600,251000,251800,253200,255000,256500,258500,260500,262000,262600,263100,265100,268400,271300,272600,273100,274300,275900,276200,276400,277900,280400,282600,284200,286500,289500,291600,292700,294400,296300,298000,299900,303800,307800,310500,313200,315700,317600,320200,323700,326400,329000,331100,333000,336400,341500,346100,348000,348500,349200,349900,349800,349800,350200,350500,351000,352200,353300,354400,355500,356000,355100,354300,354200,354400
Vanleer,city,All Homes,71500,71600,72000,72500,73000,73100,73300,73300,72700,72400,72400,72000,72000,72400,71400,70000,69800,69700,69300,69400,70200,70800,70900,70800,70100,69200,69100,68500,67600,68800,70600,71100,71000,71200,71200,71600,72700,74100,74900,75600,76200,76500,76600,76900,77600,78700,79500,79500,79300,79400,80000,80900,81800,82400,82200,82000,83100,84300,84300,84100,84400,85400,86600,87600,88000,87200,87100,87500,86300,83500,82900,84000,85300,85900,86700,88100,89600,91600,94300,97700,100400,102500,104700,106400,107100,107400,108300,109300,109600,108600,107300,107000,107500,107700,108500,110000,111300,111900,112300,113100,114100,116400,118500,119100,119700,120400,120700,121700,123700,124800,124900,124900,126000,127500,128600,130000,130700,131800,133400,134300
Watertown,city,All Homes,115500,113600,111800,110600,109100,108600,107100,104300,101700,100900,98500,95500,94100,95800,98800,99400,98200,97500,97400,95300,92300,90800,91100,92500,93400,92300,89800,88500,88400,87500,87000,88100,90400,92000,93000,93500,94500,94800,94400,94300,95500,98100,100200,100700,100100,99900,102200,107100,109900,110100,110500,111600,111600,110100,109100,111300,115500,117400,116100,113400,112200,114000,117600,121400,125600,128500,129500,130000,131000,131600,131300,130700,131200,131800,131400,130900,130900,131900,133800,136100,138300,141200,145200,148900,151200,152600,154000,155200,156400,157600,159400,160600,160500,161100,161900,161800,161900,162500,163400,164600,165900,167500,169700,171300,171700,171500,173000,175300,177900,181800,185700,188100,190300,193000,195500,197900,198600,198500,198500,198500
Westmoreland,city,All Homes,61900,61100,60300,59800,59500,59400,58700,58800,60200,61900,62200,61800,61400,61200,60800,60100,59400,59200,59800,60100,59500,59300,60000,60100,59900,59900,59800,60000,60800,61500,61900,62100,61800,61000,60300,60300,60500,60500,60300,59800,58500,57200,56400,56200,56300,56500,56600,56800,57000,57300,57600,58000,58800,60000,61400,62500,63400,64000,64800,66400,67800,68300,68700,69600,70600,71300,71400,70700,70000,69500,69400,69500,69600,70200,71200,72600,74000,74600,75200,77300,80100,82800,84300,84500,84700,86100,88000,89900,90800,91100,91200,91000,90900,91700,93900,97300,100400,102800,104400,106200,108700,111400,113200,113000,112500,112400,111800,110800,111300,112400,113500,113500,113300,114200,115900,117000,118200,119300,120500,121700
White Bluff,city,All Homes,110500,110300,110200,110300,110500,110900,111000,111100,111400,112000,112500,113000,113200,113100,112700,112400,112200,111900,111800,111500,110900,110400,110200,109800,109300,108800,108100,107500,107600,108100,108300,108500,108800,109100,109200,109600,110200,110900,111700,112100,112000,111800,111900,112300,112600,112600,112600,112700,112700,112500,112600,113100,114000,114700,115300,116000,116900,118000,119100,119600,119900,120700,122200,122600,122400,123500,124800,125400,126700,128200,128900,129500,130300,131200,131800,132100,131700,130400,129800,130800,132400,133700,135000,136700,138200,139700,141000,142700,145200,148400,150200,149500,147300,146100,146100,146500,147100,147600,148300,149500,150600,151000,151700,152700,153700,154200,154900,155800,157500,159200,160700,162200,164000,165900,168000,170600,172800,174600,176100,177200
White House,city,All Homes,154200,154000,154000,154000,154100,154500,153900,152500,151700,151900,151800,151900,151500,150700,149800,148700,147700,146800,146400,146300,146500,146800,146600,145900,145100,144500,144400,144700,144800,144600,144600,144900,144900,144600,144300,144200,144400,144700,144800,145100,145900,146500,147100,148400,149600,150400,151700,153200,154500,155200,155500,156000,157000,157600,157800,157800,157700,157900,158600,159300,160200,161800,163100,163600,163600,163900,164500,165400,166200,167400,168400,169100,169700,170700,171900,173900,175900,177400,178800,180600,182600,184200,185200,186600,188400,190200,191500,192700,194000,195500,197100,198300,199700,201300,203400,205800,208300,210300,212600,214500,216300,218600,220600,221400,222000,222200,222400,223000,224300,225800,227500,228900,229800,230900,232100,232800,233200,233900,234600,235200
Woodbury,city,All Homes,96600,95600,95000,94300,93900,94600,94300,92500,91300,91400,91300,91400,91500,91600,91100,90300,89500,88800,88300,88100,88100,88600,88900,88500,88200,88300,88500,88700,88900,89000,88900,89000,89600,90100,90300,90500,91100,91600,92200,92900,93400,93500,94000,94800,95000,94700,95100,95900,96000,95500,95200,95400,95700,95800,96300,97400,97900,97800,97800,98000,98200,98400,98700,99200,99400,99700,100400,101200,102000,102800,103500,103700,104100,105100,105900,106600,107800,109300,110300,111200,112200,113300,114500,115900,117900,119600,120100,120200,120800,122200,123700,125400,126600,126900,126900,127600,128100,128700,130700,132800,134200,135000,136000,137400,138500,138100,138100,139300,140700,141600,142400,143700,144900,145300,144100,141900,141200,142600,144200,144900
